0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
0x0B Innes,HelariName|IsPointer,HelariDesc|IsPointer,Helari,0x1b,0xB,0x0,IceAffinity,0x14,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed5c,0x0,0x0,0x0,0x0
0x0C Lute,DruidiName|IsPointer,0x279,Druidi,0x26,0xC,0x0,AnimaAffinity,0xf,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,BRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aeccc,0x7,0x0,0x0,0x0
0x0D Natasha,0x21e,0x27a,0xd,0x4a,0x11,0x0,IceAffinity,0x10,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aece4,0xa,0x0,0x0,0x0
0x0E Cormag,0x21f,0x27b,0xe,0x1f,0x13,0x0,FireAffinity,0x1f,20,0,0,0,0,0,0,0,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee1c,0x0,0x0,0x0,0x0
0x0F Ephraim,0x220,0x27c,0xf,0x1,0x14,0x0,FireAffinity,0x1,20,0,0,0,0,0,0,0,0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebc4,0x3,0x0,0x0,0x0
0x10 Forde,0x221,0x27d,0x10,0x5,0x16,0x0,WindAffinity,0x5,20,0,0,0,0,0,0,0,0,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed2c,0x3,0x0,0x0,0x0
0x11 Kyle,0x222,0x27e,0x11,0x5,0x18,0x0,IceAffinity,0x4,20,0,0,0,0,0,0,0,0,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed14,0x3,0x0,0x0,0x0
0x12 Amelia,0x223,0x27f,0x12,0x47,0x19,0x0,ThunderAffinity,0x13,20,0,0,0,0,0,0,0,0,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aee34,0x7,0x0,0x0,0x0
0x13 Artur,0x224,0x280,0x13,0x44,0x1a,0x0,IceAffinity,0xe,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecb4,0x0,0x0,0x0,0x0
0x14 Gerik,0x225,0x281,0x14,0xf,0x1b,0x0,ThunderAffinity,0x15,20,0,0,0,0,0,0,0,0,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed74,0x4,0x0,0x0,0x0
0x15 Tethys,0x226,0x282,0x15,0x4d,0x1c,0x0,FireAffinity,0x16,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aed8c,0x7,0x0,0x0,0x0
0x16 Marisa,0x227,0x283,0x16,0x14,0x1e,0x0,IceAffinity,0x17,20,0,0,0,0,0,0,0,0,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aeda4,0xc,0x0,0x0,0x0
0x17 Saleh,0x228,0x284,0x17,0x27,0x20,0x0,WindAffinity,0x18,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,CRank,ARank,BRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedbc,0x6,0x0,0x0,0x0
0x18 Ewan,0x229,0x285,0x18,0x3e,0x21,0x0,LightAffinity,0x19,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedd4,0x5,0x0,0x0,0x0
0x19 L'Arachel,0x22a,0x286,0x19,0x4b,0x22,0x0,LightAffinity,0x1b,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aedec,0xb,0x0,0x0,0x0
0x1A Dozla,0x22b,0x287,0x1a,0x43,0x23,0x0,ThunderAffinity,0x1c,20,0,0,0,0,0,0,0,0,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee04,0x4,0x0,0x0,0x0
0x1B -,0x267,0x0,0x1b,0x41,0x0,0x0,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x1C Rennac,0x22d,0x288,0x1c,0x33,0x24,0x0,DarkAffinity,0x1d,20,0,0,0,0,0,0,0,0,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee4c,0x0,0x0,0x0,0x0
0x1D Duessel,0x22e,0x289,0x1d,0x35,0x25,0x0,AnimaAffinity,0x1e,20,0,0,0,0,0,0,0,0,ARank,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee64,0x4,0x0,0x0,0x0
0x1E Myrrh,0x22f,0x28a,0x1e,0x3c,0x26,0x0,WindAffinity,0x22,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aee7c,0xc,0x0,0x0,0x0
0x1F Knoll,0x230,0x28b,0x1f,0x2d,0x29,0x0,DarkAffinity,0x20,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee94,0x3,0x0,0x0,0x0
0x20 Joshua,0x231,0x28c,0x20,0x13,0x2a,0x0,WindAffinity,0x11,20,0,0,0,0,0,0,0,0,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecfc,0x3,0x0,0x0,0x0
0x21 Syrene,0x232,0x28d,0x21,0x49,0x2b,0x0,ThunderAffinity,0x23,20,0,0,0,0,0,0,0,0,CRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,TriangleAttack|IsFemale,0x88aeeac,0xa,0x0,0x0,0x0
0x22 Tana,0x233,0x28e,0x22,0x48,0x2c,0x0,WindAffinity,0x12,20,0,0,0,0,0,0,0,0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,TriangleAttack|IsFemale,0x88aed44,0xa,0x0,0x0,0x0
0x23 Lyon,0x234,0x28f,0x23,0x4f,0x46,0x0,IceAffinity,0x24,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,SRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x24 Orson,0x236,0x291,0x24,0x7,0x45,0x0,DarkAffinity,0x28,20,0,0,0,0,0,0,0,0,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x25 Glen,0x24a,0x2a4,0x25,0x21,0x4b,0x0,WindAffinity,0x27,20,0,0,0,0,0,0,0,0,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x26 Selena,0x238,0x293,0x26,0x2a,0x3f,0x0,ThunderAffinity,0x26,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,BRank,ARank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
0x27 Valter,0x237,0x292,0x27,0x23,0x42,0x0,IceAffinity,0x29,20,0,0,0,0,0,0,0,0,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x28 Riev,0x246,0x2a0,0x28,0x2b,0x48,0x0,DarkAffinity,0x2b,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ARank,NoRank,SRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x29 Caellach,0x244,0x29f,0x29,0x11,0x43,0x0,ThunderAffinity,0x2a,20,0,0,0,0,0,0,0,0,ARank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x2A Fado,0x25b,0x2b3,0x2a,0xb,0x51,0x0,FireAffinity,0x2c,20,0,0,0,0,0,0,0,0,ARank,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x2B Ismaire,0x260,0x2b8,0x2b,0x16,0x56,0x0,WindAffinity,0x2e,20,0,0,0,0,0,0,0,0,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0
0x2C Hayden,0x25c,0x2b4,0x2c,0x1d,0x52,0x0,AnimaAffinity,0x2d,20,0,0,0,0,0,0,0,0,ARank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x2D -,EnemyName|IsPointer,EnemyDesc|IsPointer,0x2d,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x2E -,EnemyName|IsPointer,0x0,0x2e,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x2F -,EnemyName|IsPointer,0x0,0x2f,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x30 -,EnemyName|IsPointer,0x0,0x30,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x31 -,EnemyName|IsPointer,0x0,0x31,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x32 -,EnemyName|IsPointer,0x0,0x32,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x33 -,EnemyName|IsPointer,0x0,0x33,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x34 -,EnemyName|IsPointer,0x0,0x34,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x35 -,EnemyName|IsPointer,0x0,0x35,0x41,0x0,0x3,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x36 -,0x267,0x0,0x36,0x41,0x0,0x0,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x37 -,0x267,0x0,0x37,0x41,0x0,0x0,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x38 -,0x267,0x0,0x38,0x41,0x0,0x0,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x39 -,0x267,0x0,0x39,0x41,0x0,0x0,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3A -,0x267,0x0,0x3a,0x41,0x0,0x0,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3B Lyon's Summon,0x2f1,0x33d,0x3b,0x7,0x0,0x7,DarkAffinity,0x25,20,0,0,0,0,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3C <Summon>,0x26d,0x32e,0x3c,0x31,0x0,0x0,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3D <'Summonern'>,0x26c,0x32e,0x3d,0x31,0x0,0x0,NoAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3E Knoll's Summon,0x2f1,0x33d,0x3e,0x7,0x0,0x7,DarkAffinity,0x21,20,0,0,0,0,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x3F Ewan's Summon,0x2f1,0x33d,0x3f,0x7,0x0,0x7,DarkAffinity,0x1a,20,0,0,0,0,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x40 Lyon (Ch 17),0x234,0x28f,0x40,0x4f,0x4a,0x0,IceAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,SRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x41 Morva (Ch 20),0x235,0x290,0x41,0x3b,0x0,0x1,WindAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x42 Orson (Ch 5x),0x236,0x291,0x42,0x7,0x45,0x0,DarkAffinity,0x0,20,0,0,0,0,0,0,0,0,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x43 Valter (Ch 15),0x237,0x292,0x43,0x23,0x42,0x0,IceAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,SRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x44 Selena (Ch 10B & 13B),0x238,0x293,0x44,0x2a,0x3f,0x0,ThunderAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,BRank,ARank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale,0x0,0x0,0x0,0x0,0x0
0x45 Valter (Prologue),0x237,0x292,0x45,0x23,0x42,0x0,IceAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x46 Breguet (Ch 1),0x239,0x294,0x46,0x9,0x31,0x0,ThunderAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x47 Bone (Ch 2),0x23a,0x295,0x47,0x41,0x32,0x0,IceAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x48 Bazba (Ch 3),0x23b,0x296,0x48,0x41,0x33,0x0,FireAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x49 Entombed (Ch 4),0x255,0x2b1,0x49,0x53,0x0,0x4,DarkAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4A Saar (Ch 5),0x23c,0x297,0x4a,0x9,0x34,0x0,AnimaAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4B Novala (Ch 6),0x23d,0x298,0x4b,0x2d,0x36,0x0,FireAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4C Murray (Ch 7),0x23e,0x299,0x4c,0x5,0x37,0x0,LightAffinity,0x0,20,0,0,0,0,0,0,0,0,CRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4D Tirado (Ch 8),0x23f,0x29a,0x4d,0xb,0x38,0x0,AnimaAffinity,0x0,20,0,0,0,0,0,0,0,0,BRank,ARank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4E Binks (Ch 9A),0x240,0x29b,0x4e,0x40,0x39,0x0,DarkAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,BRank,CRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x4F Pablo (Ch 10A),0x241,0x29c,0x4f,0x27,0x3a,0x0,IceAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,CRank,BRank,CRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
0x50 Maelduin (Ch 12A),0x255,0x2b1,0x50,0x5e,0x0,0x4,DarkAffinity,0x0,20,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
